114	George	Savings	78053.64	.055	1987-04-04 10:54:26
2	Paul	Savings	4133.25	.055	2000-01-01 14:48:13
3	Warren	Savings	872.50	\N	2001-08-20 15:25:54
4	Nancy	Checking	3415.18	\N	2003-05-25 15:59:28
5	Brad	Checking	15	\N	2004-02-04 08:12:33
6	Mick	Checking	805.33	\N	2005-02-03 17:22:07
7	John	Savings	1809.87	.055	2005-07-14 18:20:15
8	Andy	Checking	55.22	\N	2006-08-25 12:15:22
9	Violet	Checking	5000	\N	2009-05-17 09:46:32
10	Paul	Checking	87.66	.055	2009-08-25 12:12:13
11	Mick	Savings	255034.20	.055	2009-12-14 10:22:07
12	Ringo	Checking	183	\N	2010-04-20 16:16:32
13	Tom	Checking	5438.62	\N	2010-05-15 15:25:03
14	John	Checking	1808.04	\N	2011-01-24 20:20:15
15	Clint	Checking	20000	\N	2011-04-13 14:28:57
16	Clint	Savings	25000	.055	2011-04-14 14:10:38
17	Larry	Checking	100000	\N	2011-04-18 19:05:14
18	Keira	Checking	17052.30	\N	2011-05-23 18:28:47
19	Isabel	Savings	18.59	\N	2011-08-17 13:38:16
20	Henry	Checking	605.57	.055	2011-09-10 12:24:19
21	Stan	Savings	2505.77	.055	2011-10-02 19:46:21
22	Fred	Checking	2019.31	\N	2011-10-03 15:49:30
23	Mick	Savings	87000	\N	2011-11-13 10:22:07
24	Elvis	Checking	10057.10	\N	2012-03-17 14:05:18
25	Tom	Checking	186254.35	\N	2013-04-28 15:25:03
26	Brad	Savings	195682.20	\N	2013-04-29 10:12:33
27	Warren	Checking	50.00	\N	2013-07-22 10:25:54
28	Paul	Savings	7.55	\N	2014-03-20 10:12:13
29	George	Checking	87.34	\N	2014-05-22 10:00:26
30	Stan	Checking	1000	\N	2014-09-17 11:46:21
